Time,99th quantile,50th quantile,Mean,2xx,4xx/5xx,IsError
2/27/2023 18:46,0.0139,0.00257,0.00234,164,0,TRUE
2/27/2023 18:46,0.00906,0.00264,0.00257,167,0,TRUE
2/27/2023 18:47,0.0555,0.00253,0.00318,173,0,TRUE
2/27/2023 18:47,0.00929,0.00269,0.0027,158,0,TRUE
2/27/2023 18:48,0.0092,0.00267,0.00272,142,0,TRUE
2/27/2023 18:48,0.00943,0.00274,0.0028,151,0,TRUE
2/27/2023 18:49,0.00878,0.00261,0.00259,162,0,TRUE
2/27/2023 18:49,0.00958,0.00284,0.00279,169,0,TRUE
2/27/2023 18:50,0.00965,0.00292,0.0029,171,0,TRUE
2/27/2023 18:50,0.0128,0.00307,0.00342,180,0,TRUE
2/27/2023 18:51,0.0142,0.00281,0.00302,160,0,TRUE
2/27/2023 18:51,0.0143,0.00301,0.00307,158,0,TRUE
2/27/2023 18:52,0.0136,0.00288,0.00292,169,0,TRUE
2/27/2023 18:52,0.00959,0.00285,0.0028,164,0,TRUE
2/27/2023 18:53,0.0194,0.00284,0.0032,167,0,TRUE
2/27/2023 18:53,0.0214,0.00295,0.00325,160,0,TRUE
2/27/2023 18:54,0.0216,0.00304,0.00333,100,0,TRUE
2/27/2023 18:54,0.00863,0.00259,0.00272,122,0,TRUE
2/27/2023 18:55,0.00958,0.00284,0.00285,169,0,TRUE
2/27/2023 18:55,0.0134,0.00287,0.0031,171,0,TRUE
2/27/2023 18:56,0.0138,0.00268,0.00257,167,0,TRUE
2/27/2023 18:56,0.00944,0.00275,0.00268,149,0,TRUE
2/27/2023 18:57,0.00927,0.00268,0.00272,162,0,TRUE
2/27/2023 18:57,0.0154,0.00302,0.00357,142,0,TRUE
2/27/2023 18:58,0.0197,0.00301,0.00345,158,0,TRUE
2/27/2023 18:58,0.013,0.00282,0.00297,178,0,TRUE
2/27/2023 18:59,0.00938,0.00272,0.00277,167,0,TRUE
2/27/2023 18:59,0.0139,0.00272,0.0029,164,0,TRUE
2/27/2023 19:00,0.0091,0.00265,0.00263,120,0,TRUE
2/27/2023 19:00,0.00957,0.00283,0.00286,95.5,0,TRUE
2/27/2023 19:01,0.0201,0.00306,0.00328,147,0,TRUE
2/27/2023 19:01,0.0161,0.0036,0.00374,131,0,TRUE
