timestamps,user_ip,method,status_code,end_point,response_time
2024-04-07 00:03:36.190764,44.72.18.206,POST,204,/users,93
2024-04-07 00:11:21.183008,116.165.17.29,GET,204,/data,13
2024-04-07 00:26:35.779292,92.207.128.16,GET,200,/login,201
2024-04-07 00:32:46.159620,92.207.128.16,POST,204,/admin,83
2024-04-07 00:40:16.426405,44.72.18.206,DELETE,204,/login,11
2024-04-07 00:41:18.747723,116.80.172.77,PUT,204,/admin,181
2024-04-07 00:49:43.023929,116.80.172.77,DELETE,200,/data,70
2024-04-07 00:55:07.006336,181.143.79.52,POST,201,/admin,215
2024-04-07 00:55:14.311439,141.152.53.70,GET,200,/data,85
2024-04-07 01:09:45.351886,181.143.79.52,PATCH,200,/admin,184
2024-04-07 01:28:34.064746,83.219.39.245,DELETE,200,/metrics,97
2024-04-07 01:39:18.385533,181.143.79.52,POST,201,/metrics,95
2024-04-07 02:06:56.095818,141.152.53.70,DELETE,204,/users,121
2024-04-07 02:07:22.442302,44.72.18.206,POST,200,/metrics,48
2024-04-07 02:08:38.771582,92.207.128.16,PUT,200,/users,30
2024-04-07 02:12:47.290340,116.165.17.29,DELETE,200,/data,121
2024-04-07 02:18:31.641965,92.207.128.16,GET,200,/metrics,93
2024-04-07 02:34:59.134650,44.72.18.206,GET,204,/admin,73
2024-04-07 02:47:33.524610,159.99.215.90,PATCH,204,/data,79
2024-04-07 03:00:15.406946,116.80.172.77,GET,201,/metrics,149
2024-04-07 03:02:40.943148,181.143.79.52,DELETE,201,/login,109
2024-04-07 03:05:52.490208,83.219.39.245,POST,200,/data,62
2024-04-07 03:22:44.502842,141.152.53.70,GET,201,/admin,264
2024-04-07 03:23:40.436494,181.143.79.52,POST,204,/login,158
2024-04-07 03:40:53.144481,164.74.85.81,GET,201,/admin,108
2024-04-07 03:48:30.425801,116.80.172.77,PUT,200,/metrics,276
2024-04-07 03:48:47.877409,83.219.39.245,PATCH,201,/metrics,246
2024-04-07 03:49:57.779084,164.74.85.81,DELETE,200,/admin,237
2024-04-07 03:52:24.387221,116.165.17.29,POST,201,/login,128
2024-04-07 03:53:44.389369,83.219.39.245,PUT,201,/metrics,214
2024-04-07 03:58:51.620319,164.74.85.81,PUT,200,/data,193
2024-04-07 04:01:04.117248,116.80.172.77,POST,200,/users,187
2024-04-07 04:08:37.354088,141.152.53.70,GET,204,/admin,115
2024-04-07 04:14:28.112217,164.74.85.81,POST,201,/users,224
2024-04-07 04:16:54.531277,164.74.85.81,POST,204,/data,144
2024-04-07 04:18:27.455755,44.72.18.206,POST,201,/data,297
2024-04-07 04:19:34.029111,141.152.53.70,DELETE,201,/data,210
2024-04-07 04:26:24.119931,159.99.215.90,PATCH,200,/admin,87
2024-04-07 04:33:42.795198,92.207.128.16,DELETE,200,/login,268
2024-04-07 04:48:05.612740,181.143.79.52,PATCH,201,/metrics,185
2024-04-07 05:05:56.329436,141.152.53.70,POST,200,/login,190
2024-04-07 05:29:14.341436,92.207.128.16,DELETE,204,/login,263
2024-04-07 05:37:20.677142,83.219.39.245,GET,200,/users,80
2024-04-07 05:43:19.461707,116.80.172.77,PATCH,204,/users,186
2024-04-07 05:43:51.509118,116.165.17.29,GET,200,/login,40
2024-04-07 05:52:50.056657,92.207.128.16,PATCH,201,/metrics,140
2024-04-07 06:01:26.090224,141.152.53.70,PUT,200,/admin,96
2024-04-07 06:24:29.469200,181.143.79.52,GET,200,/users,69
2024-04-07 06:44:11.224592,164.74.85.81,GET,204,/metrics,14
2024-04-07 06:49:28.037207,44.72.18.206,GET,201,/data,293
2024-04-07 06:50:38.283922,159.99.215.90,GET,204,/data,211
2024-04-07 06:54:05.368979,181.143.79.52,PATCH,200,/users,122
2024-04-07 06:58:24.095202,159.99.215.90,DELETE,204,/login,34
2024-04-07 07:10:58.779036,116.165.17.29,GET,201,/users,288
2024-04-07 07:13:21.678462,92.207.128.16,POST,201,/login,221
2024-04-07 07:22:27.571210,92.207.128.16,PATCH,204,/login,126
2024-04-07 07:27:09.159834,164.74.85.81,PUT,201,/admin,74
2024-04-07 07:29:00.990642,164.74.85.81,DELETE,200,/metrics,160
2024-04-07 07:33:06.842139,83.219.39.245,PUT,204,/login,242
2024-04-07 07:40:03.520172,164.74.85.81,DELETE,204,/metrics,24
2024-04-07 07:44:09.108950,83.219.39.245,PUT,201,/admin,40
2024-04-07 07:44:18.089958,44.72.18.206,GET,201,/data,143
2024-04-07 07:44:34.198929,116.80.172.77,PATCH,201,/login,44
2024-04-07 07:54:32.808015,116.165.17.29,PUT,201,/metrics,122
2024-04-07 08:14:36.861605,159.99.215.90,PUT,200,/admin,56
2024-04-07 08:25:43.296599,141.152.53.70,GET,204,/login,236
2024-04-07 08:27:35.352938,92.207.128.16,PATCH,200,/data,115
2024-04-07 08:36:58.004494,159.99.215.90,GET,204,/data,83
2024-04-07 08:52:23.201202,141.152.53.70,GET,204,/login,223
2024-04-07 08:59:46.238509,92.207.128.16,POST,200,/data,273
2024-04-07 09:08:27.163685,181.143.79.52,PUT,204,/data,197
2024-04-07 09:13:02.317167,141.152.53.70,POST,201,/login,82
2024-04-07 09:26:52.083575,116.165.17.29,DELETE,201,/metrics,153
2024-04-07 09:33:11.138685,164.74.85.81,PUT,204,/login,184
2024-04-07 09:46:37.585044,44.72.18.206,PUT,201,/login,249
