method,end_point,response_time,hour_of_day,day_of_week,month,is_weekend,error_count,unique_error_type,avg_response_time,max_response_time,response_time_category,is_potential_anomalous
POST,/users,93,0,6,4,1,308,5,234.9827711,4994,fast,0
GET,/data,13,0,6,4,1,322,5,243.0159184,4961,fast,0
GET,/login,201,0,6,4,1,319,5,243.46375,4857,normal,1
POST,/admin,83,0,6,4,1,319,5,243.46375,4857,fast,0
DELETE,/login,11,0,6,4,1,308,5,234.9827711,4994,fast,0
PUT,/admin,181,0,6,4,1,305,5,238.7543703,4942,normal,0
DELETE,/data,70,0,6,4,1,305,5,238.7543703,4942,fast,0
POST,/admin,215,0,6,4,1,313,5,242.773283,4979,normal,1
GET,/data,85,0,6,4,1,281,5,231.1578757,4991,fast,0
PATCH,/admin,184,1,6,4,1,313,5,242.773283,4979,normal,0
DELETE,/metrics,97,1,6,4,1,287,5,234.4954096,4998,fast,0
POST,/metrics,95,1,6,4,1,313,5,242.773283,4979,fast,0
DELETE,/users,121,2,6,4,1,281,5,231.1578757,4991,normal,0
POST,/metrics,48,2,6,4,1,308,5,234.9827711,4994,fast,0
PUT,/users,30,2,6,4,1,319,5,243.46375,4857,fast,0
DELETE,/data,121,2,6,4,1,322,5,243.0159184,4961,normal,0
GET,/metrics,93,2,6,4,1,319,5,243.46375,4857,fast,0
GET,/admin,73,2,6,4,1,308,5,234.9827711,4994,fast,0
PATCH,/data,79,2,6,4,1,315,5,238.6485995,4986,fast,0
GET,/metrics,149,3,6,4,1,305,5,238.7543703,4942,normal,0
DELETE,/login,109,3,6,4,1,313,5,242.773283,4979,normal,0
POST,/data,62,3,6,4,1,287,5,234.4954096,4998,fast,0
GET,/admin,264,3,6,4,1,281,5,231.1578757,4991,normal,1
POST,/login,158,3,6,4,1,313,5,242.773283,4979,normal,0
GET,/admin,108,3,6,4,1,303,5,251.9843433,4980,normal,0
PUT,/metrics,276,3,6,4,1,305,5,238.7543703,4942,normal,1
PATCH,/metrics,246,3,6,4,1,287,5,234.4954096,4998,normal,1
DELETE,/admin,237,3,6,4,1,303,5,251.9843433,4980,normal,1
POST,/login,128,3,6,4,1,322,5,243.0159184,4961,normal,0
PUT,/metrics,214,3,6,4,1,287,5,234.4954096,4998,normal,1
PUT,/data,193,3,6,4,1,303,5,251.9843433,4980,normal,0
POST,/users,187,4,6,4,1,305,5,238.7543703,4942,normal,0
GET,/admin,115,4,6,4,1,281,5,231.1578757,4991,normal,0
POST,/users,224,4,6,4,1,303,5,251.9843433,4980,normal,1
POST,/data,144,4,6,4,1,303,5,251.9843433,4980,normal,0
POST,/data,297,4,6,4,1,308,5,234.9827711,4994,normal,1
DELETE,/data,210,4,6,4,1,281,5,231.1578757,4991,normal,1
PATCH,/admin,87,4,6,4,1,315,5,238.6485995,4986,fast,0
DELETE,/login,268,4,6,4,1,319,5,243.46375,4857,normal,1
